YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,AR,Arkansas,,Hawaiian/Pacific Islander,"(34.74865012400045, -92.27449074299966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,AR,Arkansas,,Other,"(34.74865012400045, -92.27449074299966)",Other,RACE,RACEOTH
2015,2015,AR,Arkansas,29.2,American Indian/Alaska Native,"(34.74865012400045, -92.27449074299966)",American Indian/Alaska Native,RACE,RACENAA
2015,2015,AR,Arkansas,33.4,Non-Hispanic White,"(34.74865012400045, -92.27449074299966)",Non-Hispanic White,RACE,RACEWHT
2015,2015,AR,Arkansas,40.4,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,AR,Arkansas,42.5,2 or more races,"(34.74865012400045, -92.27449074299966)",2 or more races,RACE,RACE2PLUS
2011,2011,CA,California,22,Non-Hispanic White,"(37.63864012300047, -120.99999953799971)",Non-Hispanic White,RACE,RACEWHT
2011,2011,CA,California,33.1,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,CA,California,30.3,Hispanic,"(37.63864012300047, -120.99999953799971)",Hispanic,RACE,RACEHIS
2011,2011,CA,California,8.1,Asian,"(37.63864012300047, -120.99999953799971)",Asian,RACE,RACEASN
2011,2011,CA,California,23.2,Hawaiian/Pacific Islander,"(37.63864012300047, -120.99999953799971)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,CA,California,37.3,American Indian/Alaska Native,"(37.63864012300047, -120.99999953799971)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,CA,California,26.9,2 or more races,"(37.63864012300047, -120.99999953799971)",2 or more races,RACE,RACE2PLUS
2011,2011,CA,California,,Other,"(37.63864012300047, -120.99999953799971)",Other,RACE,RACEOTH
2012,2012,CA,California,23.3,Non-Hispanic White,"(37.63864012300047, -120.99999953799971)",Non-Hispanic White,RACE,RACEWHT
