YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,AgeYear,Education,Gender,Income,RaceEthnicity,Stratification1,StratificationCategoryId1,StratificationID1,Simple
2011,2011,IL,Illinois,29,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,IN,Indiana,32.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,IA,Iowa,33,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,KS,Kansas,31.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,KY,Kentucky,31.4,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,LA,Louisiana,33.6,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,ME,Maine,31.4,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MD,Maryland,32.6,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MA,Massachusetts,25.2,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MI,Michigan,32.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MN,Minnesota,28.9,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MS,Mississippi,34.7,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MO,Missouri,30.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,MT,Montana,27.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,US,National,29.7,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NE,Nebraska,30.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NV,Nevada,23.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NH,New Hampshire,29.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NJ,New Jersey,26.9,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NM,New Mexico,27.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NY,New York,26.9,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,NC,North Carolina,31.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,ND,North Dakota,28,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,OH,Ohio,32.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,OK,Oklahoma,33.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,OR,Oregon,27.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,PA,Pennsylvania,31.6,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,RI,Rhode Island,27,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,SC,South Carolina,31.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,SD,South Dakota,29.7,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,TN,Tennessee,32.4,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,TX,Texas,32.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,UT,Utah,24.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,VT,Vermont,33.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,VA,Virginia,32.4,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,WA,Washington,29.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,WV,West Virginia,33.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,WI,Wisconsin,30.3,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,WY,Wyoming,26.6,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,AL,Alabama,26.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,AK,Alaska,22.1,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,AZ,Arizona,17.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,AR,Arkansas,26.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,CA,California,15.3,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,CO,Colorado,15.6,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,CT,Connecticut,16.7,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,DE,Delaware,24.1,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,DC,DC,11.9,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,FL,Florida,21.1,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,GA,Georgia,21.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,HI,Hawaii,15.2,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,ID,Idaho,21.5,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,IL,Illinois,23.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,IN,Indiana,23.5,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,IA,Iowa,23.2,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,KS,Kansas,24.9,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,KY,Kentucky,24.4,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
2011,2011,LA,Louisiana,26.6,,,College graduate,,,,College graduate,EDU,EDUCOGRAD,COGRAD
