YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,KS,Kansas,29.1,,Female,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2012,2012,KS,Kansas,30.6,,Male,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
2012,2012,KS,Kansas,29,,Female,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2013,2013,KS,Kansas,30.5,,Male,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
2013,2013,KS,Kansas,29.4,,Female,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2014,2014,KS,Kansas,31.1,,Male,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
2014,2014,KS,Kansas,31.5,,Female,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2015,2015,KS,Kansas,35.1,,Male,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
2015,2015,KS,Kansas,33.3,,Female,"(38.34774030000045, -98.20078122699965)",Female,GEN,FEMALE
2011,2011,KY,Kentucky,29.6,,Male,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2011,2011,KY,Kentucky,31.1,,Female,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2012,2012,KY,Kentucky,31.5,,Male,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2012,2012,KY,Kentucky,31,,Female,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2013,2013,KY,Kentucky,33.3,,Male,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2013,2013,KY,Kentucky,33.1,,Female,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2014,2014,KY,Kentucky,33.3,,Male,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2014,2014,KY,Kentucky,29.9,,Female,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2015,2015,KY,Kentucky,36.2,,Male,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2015,2015,KY,Kentucky,32.9,,Female,"(37.645970271000465, -84.77497104799966)",Female,GEN,FEMALE
2011,2011,LA,Louisiana,33,,Male,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
2011,2011,LA,Louisiana,33.8,,Female,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2012,2012,LA,Louisiana,33.5,,Male,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
2012,2012,LA,Louisiana,35.9,,Female,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2013,2013,LA,Louisiana,31.1,,Male,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
2013,2013,LA,Louisiana,35,,Female,"(31.31266064400046, -92.44568007099969)",Female,GEN,FEMALE
2014,2014,LA,Louisiana,34,,Male,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
