YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,CA,California,21.2,65 or older,"(37.63864012300047, -120.99999953799971)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,CA,California,12.2,18 - 24,"(37.63864012300047, -120.99999953799971)",18 - 24,AGEYR,AGEYR1824
2012,2012,CA,California,23.2,25 - 34,"(37.63864012300047, -120.99999953799971)",25 - 34,AGEYR,AGEYR2534
2012,2012,CA,California,28.7,35 - 44,"(37.63864012300047, -120.99999953799971)",35 - 44,AGEYR,AGEYR3544
2012,2012,CA,California,31.3,45 - 54,"(37.63864012300047, -120.99999953799971)",45 - 54,AGEYR,AGEYR4554
2012,2012,CA,California,30.6,55 - 64,"(37.63864012300047, -120.99999953799971)",55 - 64,AGEYR,AGEYR5564
2012,2012,CA,California,21.1,65 or older,"(37.63864012300047, -120.99999953799971)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,CA,California,12.2,18 - 24,"(37.63864012300047, -120.99999953799971)",18 - 24,AGEYR,AGEYR1824
2013,2013,CA,California,23,25 - 34,"(37.63864012300047, -120.99999953799971)",25 - 34,AGEYR,AGEYR2534
2013,2013,CA,California,26.7,35 - 44,"(37.63864012300047, -120.99999953799971)",35 - 44,AGEYR,AGEYR3544
2013,2013,CA,California,28.3,45 - 54,"(37.63864012300047, -120.99999953799971)",45 - 54,AGEYR,AGEYR4554
2013,2013,CA,California,30.3,55 - 64,"(37.63864012300047, -120.99999953799971)",55 - 64,AGEYR,AGEYR5564
2013,2013,CA,California,22,65 or older,"(37.63864012300047, -120.99999953799971)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,CA,California,13.3,18 - 24,"(37.63864012300047, -120.99999953799971)",18 - 24,AGEYR,AGEYR1824
2014,2014,CA,California,23.7,25 - 34,"(37.63864012300047, -120.99999953799971)",25 - 34,AGEYR,AGEYR2534
2014,2014,CA,California,28.1,35 - 44,"(37.63864012300047, -120.99999953799971)",35 - 44,AGEYR,AGEYR3544
2014,2014,CA,California,26.9,45 - 54,"(37.63864012300047, -120.99999953799971)",45 - 54,AGEYR,AGEYR4554
2014,2014,CA,California,29.8,55 - 64,"(37.63864012300047, -120.99999953799971)",55 - 64,AGEYR,AGEYR5564
2014,2014,CA,California,24.1,65 or older,"(37.63864012300047, -120.99999953799971)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,CA,California,27.7,45 - 54,"(37.63864012300047, -120.99999953799971)",45 - 54,AGEYR,AGEYR4554
2015,2015,CA,California,13.6,18 - 24,"(37.63864012300047, -120.99999953799971)",18 - 24,AGEYR,AGEYR1824
2015,2015,CA,California,22.8,65 or older,"(37.63864012300047, -120.99999953799971)",65 or older,AGEYR,AGEYR65PLUS
