YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,NH,New Hampshire,26.7,Total,"(43.65595011300047, -71.50036091999965)",Total,OVR,OVERALL
2013,2013,NJ,New Jersey,26.3,Total,"(40.13057004800049, -74.27369128799967)",Total,OVR,OVERALL
2013,2013,NM,New Mexico,26.4,Total,"(34.52088095200048, -106.24058098499967)",Total,OVR,OVERALL
2013,2013,NY,New York,25.4,Total,"(42.82700103200045, -75.54397042699964)",Total,OVR,OVERALL
2013,2013,NC,North Carolina,29.4,Total,"(35.466220975000454, -79.15925046299964)",Total,OVR,OVERALL
2013,2013,ND,North Dakota,31,Total,"(47.47531977900047, -100.11842104899966)",Total,OVR,OVERALL
2013,2013,OH,Ohio,30.4,Total,"(40.06021014100048, -82.40426005599966)",Total,OVR,OVERALL
2013,2013,OK,Oklahoma,32.5,Total,"(35.47203135600046, -97.52107021399968)",Total,OVR,OVERALL
2013,2013,OR,Oregon,26.5,Total,"(44.56744942400047, -120.15503132599969)",Total,OVR,OVERALL
2013,2013,PA,Pennsylvania,30,Total,"(40.79373015200048, -77.86070029399963)",Total,OVR,OVERALL
2013,2013,PR,Puerto Rico,27.9,Total,"(18.220833, -66.590149)",Total,OVR,OVERALL
2013,2013,RI,Rhode Island,27.3,Total,"(41.70828019300046, -71.52247031399963)",Total,OVR,OVERALL
2013,2013,SC,South Carolina,31.7,Total,"(33.998821303000454, -81.04537120699968)",Total,OVR,OVERALL
2013,2013,SD,South Dakota,29.9,Total,"(44.353130053000484, -100.3735306369997)",Total,OVR,OVERALL
2013,2013,TN,Tennessee,33.7,Total,"(35.68094058000048, -85.77449091399967)",Total,OVR,OVERALL
2013,2013,TX,Texas,30.9,Total,"(31.827240407000488, -99.42677020599967)",Total,OVR,OVERALL
2013,2013,UT,Utah,24.1,Total,"(39.360700171000474, -111.58713063499971)",Total,OVR,OVERALL
